iter	RMSE
0	24.67020208
1	23.16295883
2	21.7113478
3	20.47019685
4	19.36645671
5	18.37183762
6	17.50653457
7	16.66748267
8	16.01104358
9	15.37035584
10	14.7929939
11	14.1940721
12	13.69796043
13	13.28004705
14	12.89993536
15	12.56143261
16	12.27176027
17	11.95703618
18	11.67315964
19	11.42617593
20	11.21923703
21	11.01983025
22	10.82965378
23	10.65743325
24	10.50511449
25	10.35864412
26	10.23338989
27	10.10167185
28	9.987412031
29	9.882424515
30	9.773582672
31	9.691598647
32	9.600014572
33	9.515547645
34	9.439062018
35	9.377112647
36	9.314149444
37	9.256616016
38	9.204171387
39	9.160833099
40	9.111721055
41	9.07261726
42	9.028627238
43	8.996596725
44	8.971669993
45	8.926039535
46	8.890512688
47	8.857600554
48	8.828965775
49	8.801755094
50	8.776879277
51	8.747788575
52	8.723687783
53	8.703849091
54	8.680084606
55	8.659620155
56	8.638744944
57	8.619182322
58	8.597709801
59	8.578968995
60	8.565860917
61	8.553562066
62	8.53744488
63	8.524137056
64	8.513082
65	8.498449581
66	8.485511236
67	8.467663056
68	8.455936475
69	8.44466999
70	8.435462289
71	8.425680521
72	8.41248829
73	8.404766464
74	8.393447223
75	8.38043219
76	8.37097693
77	8.361125518
78	8.355525578
79	8.3388257
80	8.330192068
81	8.322568392
82	8.312074279
83	8.305046181
84	8.294681684
85	8.288584347
86	8.28025638
87	8.26934801
88	8.26294576
89	8.251103212
90	8.242635236
91	8.234293875
92	8.22513435
93	8.218864511
94	8.210593024
95	8.202064677
96	8.194119042
97	8.181493046
98	8.17018839
99	8.162284179
100	8.153964797
101	8.143284099
102	8.13498722
103	8.127163725
104	8.115620474
105	8.108455619
106	8.101297618
107	8.092137173
108	8.081877831
109	8.075570989
110	8.066968532
111	8.059482077
112	8.052471329
113	8.0431507
114	8.036990455
115	8.032331752
116	8.026308567
117	8.020062139
118	8.015909565
119	8.007789496
120	8.001989823
121	7.996693662
122	7.989263417
123	7.983691976
124	7.980112222
125	7.974956672
126	7.969935007
127	7.961178321
128	7.95250958
129	7.947172773
130	7.943207221
131	7.936253716
132	7.930743346
133	7.926716665
134	7.921923812
135	7.915797762
136	7.908456799
137	7.903246141
138	7.902299484
139	7.8972909
140	7.891668436
141	7.886721715
142	7.880257932
143	7.877303774
144	7.871466836
145	7.870655772
146	7.869917696
147	7.861349552
148	7.86067374
149	7.859736563
150	7.859067295
151	7.858528528
152	7.855960024
153	7.850905183
154	7.843758721
155	7.831426774
156	7.825832555
157	7.819214557
158	7.81430049
159	7.811777767
160	7.803750038
161	7.797823673
162	7.792806887
163	7.787809143
164	7.782840804
165	7.775879151
166	7.76796468
167	7.762141898
168	7.756866177
169	7.751405919
170	7.743669436
171	7.738082039
172	7.733053102
173	7.727902981
174	7.724420727
175	7.723024101
176	7.722581726
177	7.714051065
178	7.707092606
179	7.702323397
180	7.697020365
181	7.69085984
182	7.686516619
183	7.680174877
184	7.674558398
185	7.668120119
186	7.667732915
187	7.66418898
188	7.660754098
189	7.657806366
190	7.654029466
191	7.648855505
192	7.642400267
193	7.637161105
194	7.633350142
195	7.629094156
196	7.62435245
197	7.621128213
198	7.616156253
199	7.611962075
